 -0.25299251       0.23852363      -0.20700572E-009 -0.55720291E-009 -0.35634849E-009  0.67226654E-009
   0.0000000       0.23852363       0.14502512E-010 -0.81132991E-009 -0.65982212E-009  0.51089621E-009
  0.25299251       0.23852363       0.16831570E-010 -0.73882557E-009 -0.67917617E-009  0.64371227E-009
 -0.25299251       0.47704726       0.61720986E-010 -0.11037011E-009  0.11872607E-008  0.75144483E-009
   0.0000000       0.47704726       0.12882833E-009 -0.13551069E-008  0.12433059E-008  0.84739514E-009
  0.25299251       0.47704726      -0.20998876E-009 -0.54950660E-009  0.40476403E-009  0.70848680E-009
 -0.25299251       0.71557090      -0.17868948E-010 -0.80374453E-009  0.91064556E-009  0.63783037E-009
   0.0000000       0.71557090       0.34882973E-010 -0.10593579E-008  0.14007289E-008  0.49725674E-009
  0.25299251       0.71557090      -0.24917668E-009 -0.75668498E-009  0.89685292E-009  0.62820014E-009
 -0.25299251       0.95409453      -0.11922547E-009 -0.52829535E-009 -0.13756914E-008  0.56670985E-009
   0.0000000       0.95409453      -0.15800631E-009 -0.86791644E-009 -0.94672062E-009  0.30940268E-009
  0.25299251       0.95409453       0.47179992E-010 -0.66347118E-009 -0.61168071E-009  0.51503366E-009
